,epoch,value,model
0,0,2,Encoding
1,1,2,Encoding
2,2,2,Encoding
3,3,2,Encoding
4,4,0,Encoding
5,5,0,Encoding
6,6,0,Encoding
7,7,0,Encoding
8,8,0,Encoding
9,9,0,Encoding
10,10,0,Encoding
11,11,0,Encoding
12,12,0,Encoding
13,13,0,Encoding
14,14,0,Encoding
15,15,0,Encoding
16,16,0,Encoding
17,17,0,Encoding
18,18,0,Encoding
19,19,0,Encoding
20,20,0,Encoding
21,21,0,Encoding
22,22,0,Encoding
23,23,0,Encoding
24,24,0,Encoding
25,25,0,Encoding
26,26,0,Encoding
27,27,0,Encoding
28,28,0,Encoding
29,29,0,Encoding
30,30,0,Encoding
31,31,0,Encoding
32,32,0,Encoding
33,33,0,Encoding
34,34,0,Encoding
35,35,0,Encoding
36,36,0,Encoding
37,37,0,Encoding
38,38,0,Encoding
39,39,0,Encoding
40,40,0,Encoding
41,41,0,Encoding
42,42,0,Encoding
43,43,0,Encoding
44,44,0,Encoding
45,45,0,Encoding
46,46,0,Encoding
47,47,0,Encoding
48,48,0,Encoding
49,49,0,Encoding
50,50,0,Encoding
51,51,0,Encoding
52,52,0,Encoding
53,53,0,Encoding
54,54,0,Encoding
55,55,0,Encoding
56,56,0,Encoding
57,57,0,Encoding
58,58,0,Encoding
59,59,0,Encoding
60,60,0,Encoding
61,61,0,Encoding
62,62,0,Encoding
63,63,0,Encoding
64,64,0,Encoding
65,65,0,Encoding
66,66,0,Encoding
67,67,0,Encoding
68,68,0,Encoding
69,69,0,Encoding
70,70,0,Encoding
71,71,0,Encoding
72,72,0,Encoding
73,73,0,Encoding
74,74,0,Encoding
75,75,0,Encoding
76,76,0,Encoding
77,77,0,Encoding
78,78,0,Encoding
79,79,0,Encoding
80,80,0,Encoding
81,81,0,Encoding
82,82,0,Encoding
83,83,0,Encoding
84,84,0,Encoding
85,85,0,Encoding
86,86,0,Encoding
87,87,0,Encoding
88,88,0,Encoding
89,89,0,Encoding
90,90,0,Encoding
91,91,0,Encoding
92,92,0,Encoding
93,93,0,Encoding
94,94,0,Encoding
95,95,0,Encoding
96,96,0,Encoding
97,97,0,Encoding
98,98,0,Encoding
99,99,0,Encoding
