Unnamed: 0,model,bias,threshold,lr,avg_error,trained_weights,neuron_outputs
0,Encoding,False,0.3,0.1,[0.3375],"[[0.272154990956, 0.087581679014, 0.098151899044, 0.05931848307, 0.191976664685, -0.097660054392, 0.055333673147, 0.008028078988, 0.272154990956, -0.169948622975, 0.208988448517, -0.089781654573, 0.272154990956, 0.249745361744, -0.089335761498, 0.168754846086, 0.272154990956, 0.270294873399, 0.139042583972, -0.140252147407, 0.272154642761, 0.021981785301, -0.023776165328, 0.111991260291, 0.270753034361, 0.254047005541, 0.072739362947, -0.041431512427, 0.272154990956, 0.086261755051, 0.139775755812, 0.091162857753], [0.27650242106, 0.106769198195, 0.056062126688, 0.178489225744, 0.260689687796, -0.115567983681, -0.04947689968, -0.198095406773, 0.27650242106, -0.228360792326, -0.030227820536, -0.103099394502, 0.276502264996, 0.174193248731, -0.092837234361, 0.145283769196, 0.276502264996, 0.232263858248, 0.077043169903, 0.097736518241, 0.276407369207, -0.020432995059, -0.05961067538, -0.12166490179, 0.27650242106, 0.047584078592, 0.137011934368, 0.099125225098, 0.276502264996, 0.143218561414, 0.132739470456, -0.120453534243]]","[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
1,Encoding,True,0.3,0.1,[0.325],"[[0.178285969839, 0.058412946535, -0.046425644205, 0.050248809153, 0.178285969839, -0.058412946535, 0.178285969839, 0.178285969839, 0.178285969839, -0.178285969839, 0.178285969839, -0.166298667508, 0.178285969839, 0.058412946535, -0.046425644205, 0.046425644205, 0.178285969839, 0.058412946535, 0.178285969839, 0.166298667508, 0.058412946535, -0.069624214151, 0.069624214151, -0.050248809153, 0.058412946535, 0.058412946535, 0.038261506822, -0.046425644205, 0.178285969839, 0.058412946535, 0.081611516481, 0.038261506822, -0.178285969839, -0.178285969839, -0.178285969839, -0.058412946535, -0.178285969839, -0.178285969839, -0.058412946535, -0.178285969839, -0.178285969839, -0.178285969839, -0.058412946535, -0.178285969839, -0.058412946535, -0.058412946535, -0.178285969839, -0.058412946535, -0.058412946535, -0.058412946535, -0.058412946535, -0.178285969839, -0.058412946535, -0.058412946535, -0.058412946535, -0.058412946535, -0.178285969839, -0.058412946535, -0.178285969839, -0.178285969839, -0.058412946535, -0.058412946535, -0.178285969839, -0.058412946535], [0.169106849826, 0.04753870452, 0.058590354093, -0.158055200252, 0.058590354093, -0.169106849826, -0.030811958128, -0.04753870452, 0.169106849826, -0.169106849826, 0.079704537604, 0.030811958128, 0.058590354093, 0.169106849826, -0.041863607702, 0.04753870452, 0.058590354093, 0.058590354093, 0.058590354093, 0.068652888031, 0.169106849826, -0.158055200252, 0.158055200252, -0.079704537604, 0.058590354093, -0.030811958128, 0.030811958128, 0.058590354093, 0.169106849826, -0.030811958128, 0.169106849826, 0.158055200252, -0.169106849826, -0.169106849826, -0.058590354093, -0.169106849826, -0.058590354093, -0.169106849826, -0.169106849826, -0.058590354093, -0.169106849826, -0.169106849826, -0.058590354093, -0.169106849826, -0.169106849826, -0.169106849826, -0.058590354093, -0.058590354093, -0.169106849826, -0.169106849826, -0.058590354093, -0.169106849826, -0.169106849826, -0.169106849826, -0.169106849826, -0.058590354093, -0.058590354093, -0.058590354093, -0.058590354093, -0.058590354093, -0.169106849826, -0.169106849826, -0.169106849826, -0.169106849826]]","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2,Encoding,False,0.5,0.1,[0.475],"[[0.24949372193, 0.003071721485, 0.147797911145, -0.068325556548, 0.221480448027, -0.201464088353, 0.031127044123, -0.022522859002, 0.24949372193, -0.198630016903, 0.207511630601, -0.145577806933, 0.24949372193, 0.249139350224, 0.023523542134, 0.165635528214, 0.24949372193, 0.249493720865, 0.212269966076, 0.002281844616, 0.24949372193, -0.023419778006, 0.022503664457, 0.126531129695, 0.249493721891, 0.249488483129, 0.123799226904, 0.157155827494, 0.24949372193, 0.146014694837, 0.025168704312, 0.065310716532], [0.246576575166, 0.220268686537, -0.013103014181, 0.094121595926, 0.248306160475, -0.173797084823, 0.114394758096, -0.037253591617, 0.248439999948, -0.237194399114, 0.08219820021, 0.085113588044, 0.248439999948, 0.133564780812, -0.060456440442, 0.024074308156, 0.248439999836, 0.247338652556, 0.114673270902, 0.188868932976, 0.248439998678, -0.158349362868, 0.118719354668, -0.106701392444, 0.248439999948, 0.163096410691, 0.114009857232, -0.030554413586, 0.248439999948, 0.177532452917, 0.225468968208, -0.170900238303]]","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
3,Encoding,True,0.5,0.1,[0.3125],"[[0.156661494596, -0.002138173213, 0.019405226255, -0.002803168671, 0.082455080259, -0.045798655994, -0.037120491354, -0.008664775238, 0.156661494596, -0.156661494596, -0.010228113468, 0.02749516651, 0.156661494596, 0.102151083697, 0.047860942371, 0.071714629242, 0.156661494596, 0.02794466936, 0.066164431855, 0.036732311101, 0.146897448217, -0.009376750363, 0.009376750363, -0.045133660536, 0.072691033881, 0.146897448217, 0.084219035197, 0.111465627226, 0.156661494596, 0.024754204673, 0.077148304543, 0.071049633784, -0.156661494596, -0.156661494596, -0.156661494596, -0.146897448217, -0.156661494596, -0.156661494596, -0.146897448217, -0.156661494596, -0.156661494596, -0.156661494596, -0.146897448217, -0.156661494596, -0.146897448217, -0.146897448217, -0.156661494596, -0.146897448217, -0.146897448217, -0.146897448217, -0.146897448217, -0.156661494596, -0.146897448217, -0.146897448217, -0.146897448217, -0.146897448217, -0.156661494596, -0.146897448217, -0.156661494596, -0.156661494596, -0.146897448217, -0.146897448217, -0.156661494596, -0.146897448217], [0.152248708172, 0.060889626295, 0.064982001361, -0.056647954621, 0.021371291122, -0.02660996269, -0.02005454748, 0.005365099935, 0.152248708172, -0.152248708172, 0.132237576125, -0.054451212556, 0.147010036605, 0.005195256134, 0.044447002157, 0.058165168431, 0.147010036605, 0.026169108467, 0.049208692346, 0.032953493065, 0.152248708172, -0.108114130777, 0.108114130777, -0.059689884122, 0.147010036605, -0.021679424803, -0.010840502317, -0.071632235792, 0.152248708172, 0.117518561317, 0.009877782031, -0.083649612041, -0.152248708172, -0.152248708172, -0.147010036605, -0.152248708172, -0.147010036605, -0.152248708172, -0.152248708172, -0.147010036605, -0.152248708172, -0.152248708172, -0.147010036605, -0.152248708172, -0.152248708172, -0.152248708172, -0.147010036605, -0.147010036605, -0.152248708172, -0.152248708172, -0.147010036605, -0.152248708172, -0.152248708172, -0.152248708172, -0.152248708172, -0.147010036605, -0.147010036605, -0.147010036605, -0.147010036605, -0.147010036605, -0.152248708172, -0.152248708172, -0.152248708172, -0.152248708172]]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
4,Encoding,False,0.8,0.1,[0.325],"[[0.236427506039, 0.024936615627, 0.173668828034, -0.121409984563, 0.217877862185, -0.212240686671, 0.058586033125, 0.00368229037, 0.236427506039, -0.220969387258, 0.224214304053, -0.156732856848, 0.236427506039, 0.236415643964, 0.002125009107, 0.181827971293, 0.236427506039, 0.236427506034, 0.211522472, -0.014079487805, 0.236427506039, -0.082716693269, 0.082672130972, 0.152561834056, 0.236427506039, 0.236427387193, 0.065397469227, 0.163755712677, 0.236427506039, 0.166569732439, 0.041542144686, 0.018807237467], [0.246379680545, 0.223141588615, -0.013598197943, 0.093310798285, 0.24718400979, -0.17273454015, 0.113369010963, -0.0380007484, 0.247225016908, -0.238276918011, 0.08442995724, 0.081343465086, 0.247225016908, 0.132580613827, -0.061840206506, 0.024370156861, 0.247225016905, 0.246742458855, 0.113787552707, 0.194052745335, 0.247225016868, -0.159155373159, 0.115493438949, -0.103048526937, 0.247225016908, 0.162473306805, 0.116937818325, -0.030585620662, 0.247225016908, 0.176688715172, 0.230176436492, -0.173665143834]]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5,Encoding,True,0.8,0.1,[0.3625],"[[0.141049294488, -0.044375898002, 0.103310456249, -0.049148650773, 0.132845133877, -0.131052500503, 0.006436830657, -0.046741083303, 0.141049294488, -0.135189856244, 0.136629493217, -0.102925193525, 0.141049294488, 0.14104879006, 0.031359036126, 0.109265202146, 0.141049294488, 0.141049294488, 0.127382773376, 0.023647434045, 0.141049294488, -0.021807911045, 0.021803627277, 0.090819654217, 0.141049294488, 0.141049294039, 0.06920607111, 0.112112545154, 0.141049294488, 0.072037041853, -0.00690905063, 0.057159984433, -0.141049294488, -0.141049294488, -0.141049294488, -0.141049294488, -0.141049294488, -0.141049294488, -0.141049294488, -0.141049294488, -0.141049294488, -0.141049294488, -0.141049294488, -0.141049294488, -0.141049294488, -0.141049294488, -0.141049294488, -0.141049294488, -0.141049294488, -0.141049294488, -0.141049294488, -0.141049294488, -0.141049294488, -0.141049294488, -0.141049294488, -0.141049294488, -0.141049294488, -0.141049294488, -0.141049294488, -0.141049294488, -0.141049294488, -0.141049294488, -0.141049294488, -0.141049294488], [0.141559858914, 0.136380637326, -0.031200895463, 0.023595739926, 0.141597618275, -0.100697759125, 0.086224917991, -0.0023952902, 0.141597931383, -0.140529667752, 0.056922913842, 0.069583324026, 0.141597931383, 0.070024840656, -0.043550177138, 0.000652274222, 0.141597931383, 0.141584318342, 0.065254849762, 0.125666215512, 0.141597931383, -0.098687131506, 0.087329911983, -0.091429116702, 0.141597931383, 0.099018031562, 0.066903237736, -0.024168421231, 0.141597931383, 0.113094333134, 0.139418961187, -0.112943923522, -0.141597931383, -0.141597931383, -0.141597931383, -0.141597931383, -0.141597931383, -0.141597931383, -0.141597931383, -0.141597931383, -0.141597931383, -0.141597931383, -0.141597931383, -0.141597931383, -0.141597931383, -0.141597931383, -0.141597931383, -0.141597931383, -0.141597931383, -0.141597931383, -0.141597931383, -0.141597931383, -0.141597931383, -0.141597931383, -0.141597931383, -0.141597931383, -0.141597931383, -0.141597931383, -0.141597931383, -0.141597931383, -0.141597931383, -0.141597931383, -0.141597931383, -0.141597931383]]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6,Encoding,False,0.3,0.1,[0.3125],"[[0.270207996042, 0.093446345366, 0.092744154803, 0.066303325117, 0.190467341709, -0.092300317651, 0.055982016425, 0.003033204648, 0.270207996042, -0.170341976959, 0.219702757345, -0.106474508856, 0.270207996042, 0.248386873935, -0.082148605999, 0.1669973587, 0.270207996042, 0.269323816797, 0.128830266439, -0.125508453273, 0.270207996042, 0.027467690298, -0.028353623044, 0.116474412998, 0.269493841229, 0.26900955452, 0.073689285419, -0.04436938241, 0.270207996042, 0.092614186017, 0.143480240134, 0.075731037376], [0.254002746393, 0.123661937288, 0.061244171448, 0.166563886575, 0.264812826089, -0.119935392235, -0.078685154843, -0.193313141201, 0.276598292632, -0.215745767278, 0.012960867877, -0.10021151715, 0.276598292632, 0.179659224302, -0.072833513749, 0.146658204129, 0.276527840741, 0.249961346561, 0.079790050399, 0.117563685049, 0.276410797078, -0.033620662235, -0.046530154651, -0.115088708169, 0.276598292632, 0.059498051013, 0.09056865532, 0.120383155583, 0.276598292632, 0.149940033518, 0.137168240361, -0.138343053416]]","[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
0,Encoding,False,0.1,0.1,"[0.3125, 0.3125, 0.3125, 0.3125, 0.3125]","[[0.330634298912, 0.119860822585, 0.061736158174, 0.07051642907, 0.169783696656, -0.008619806176, 0.157574186878, 0.032169397791, 0.330634298912, -0.254839095674, 0.205229509826, -0.120897437863, 0.330634298912, 0.245265611671, -0.035528750622, -0.021386768106, 0.330634298912, 0.084415009415, 0.07251878786, 0.063981919136, 0.245265611671, -0.071767776899, 0.050298071341, 0.062194292896, 0.084415009415, 0.148000702876, 0.137774763584, 0.097181971343, 0.330634298912, 0.148000702876, 0.156099848861, 0.005064041618], [0.33230548785, 0.047349043287, 0.163970029918, -0.033647125165, 0.116711495532, -0.020417525196, -0.045428531335, 0.143845411648, 0.33230548785, -0.236011517515, 0.028006441998, -0.028006441998, 0.236011517515, 0.236011517515, 0.019770530699, 0.071748580671, 0.236011517515, 0.236011517515, 0.141111032915, 0.114671015299, 0.236011517515, -0.201982583098, 0.105688612762, -0.124300412333, 0.33230548785, 0.061946474089, 0.166122039054, 0.009336490107, 0.236011517515, -0.066894042602, 0.211611980131, 0.152947147148]]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
1,Encoding,True,0.1,0.1,"[0.3125, 0.3125, 0.3125, 0.3125, 0.3125]","[[0.178490976969, -0.008756260726, 0.027480984495, 0.178490976969, 0.178490976969, 0.008756260726, 0.178490976969, 0.178490976969, 0.178490976969, -0.178490976969, 0.178490976969, -0.159766253199, 0.178490976969, -0.008756260726, 0.027480984495, -0.027480984495, 0.178490976969, -0.008756260726, 0.178490976969, 0.159766253199, -0.008756260726, -0.008756260726, 0.008756260726, -0.178490976969, -0.008756260726, -0.008756260726, 0.159766253199, 0.027480984495, 0.178490976969, -0.008756260726, 0.027480984495, 0.159766253199, -0.178490976969, -0.178490976969, -0.178490976969, 0.008756260726, -0.178490976969, -0.178490976969, 0.008756260726, -0.178490976969, -0.178490976969, -0.178490976969, 0.008756260726, -0.178490976969, 0.008756260726, 0.008756260726, -0.178490976969, 0.008756260726, 0.008756260726, 0.008756260726, 0.008756260726, -0.178490976969, 0.008756260726, 0.008756260726, 0.008756260726, 0.008756260726, -0.178490976969, 0.008756260726, -0.178490976969, -0.178490976969, 0.008756260726, 0.008756260726, -0.178490976969, 0.008756260726], [0.165800913279, -0.02527901093, -0.00790810873, -0.148430011078, -0.00790810873, -0.165800913279, -0.148430011078, 0.02527901093, 0.165800913279, -0.165800913279, 0.02527901093, 0.148430011078, -0.00790810873, 0.165800913279, -0.165800913279, -0.02527901093, -0.00790810873, -0.00790810873, -0.00790810873, 0.00790810873, 0.165800913279, -0.148430011078, 0.148430011078, -0.02527901093, -0.00790810873, -0.148430011078, 0.148430011078, -0.00790810873, 0.165800913279, -0.148430011078, 0.165800913279, 0.148430011078, -0.165800913279, -0.165800913279, 0.00790810873, -0.165800913279, 0.00790810873, -0.165800913279, -0.165800913279, 0.00790810873, -0.165800913279, -0.165800913279, 0.00790810873, -0.165800913279, -0.165800913279, -0.165800913279, 0.00790810873, 0.00790810873, -0.165800913279, -0.165800913279, 0.00790810873, -0.165800913279, -0.165800913279, -0.165800913279, -0.165800913279, 0.00790810873, 0.00790810873, 0.00790810873, 0.00790810873, 0.00790810873, -0.165800913279, -0.165800913279, -0.165800913279, -0.165800913279]]","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2,Encoding,False,0.7,0.1,"[0.3375, 0.3375, 0.3375, 0.325, 0.3375]","[[0.236427506039, 0.024936615627, 0.173668828034, -0.121409984563, 0.217877862185, -0.212240686671, 0.058586033125, 0.00368229037, 0.236427506039, -0.220969387258, 0.224214304053, -0.156732856848, 0.236427506039, 0.236415643964, 0.002125009107, 0.181827971293, 0.236427506039, 0.236427506034, 0.211522472, -0.014079487805, 0.236427506039, -0.082716693269, 0.082672130972, 0.152561834056, 0.236427506039, 0.236427387193, 0.065397469227, 0.163755712677, 0.236427506039, 0.166569732439, 0.041542144686, 0.018807237467], [0.246379680545, 0.223141588615, -0.013598197943, 0.093310798285, 0.24718400979, -0.17273454015, 0.113369010963, -0.0380007484, 0.247225016908, -0.238276918011, 0.08442995724, 0.081343465086, 0.247225016908, 0.132580613827, -0.061840206506, 0.024370156861, 0.247225016905, 0.246742458855, 0.113787552707, 0.194052745335, 0.247225016868, -0.159155373159, 0.115493438949, -0.103048526937, 0.247225016908, 0.162473306805, 0.116937818325, -0.030585620662, 0.247225016908, 0.176688715172, 0.230176436492, -0.173665143834]]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
